pr_number,change_risk_label,total_changes
334835,0,14.0
334834,0,18.0
334833,0,1073.0
334831,1,5643.0
334830,0,10.0
334829,0,258.0
334828,0,858.0
334826,0,3734.0
334824,0,4.0
334823,0,4.0
334818,1,35400.0
334812,0,398.0
334790,0,39.0
334787,0,145.0
334782,0,22.0
334781,0,147.0
334780,0,17.0
334779,0,210.0
334778,0,75.0
334773,1,8246.0
334769,0,192.0
334761,1,22383.0
334756,0,0.0
334753,0,88.0
334751,0,82.0
334749,0,279.0
334741,0,22.0
334739,0,243.0
334719,0,106.0
334705,1,19808.0
334702,0,176.0
334700,0,41.0
334696,0,858.0
334695,0,105.0
334694,0,2203.0
334689,0,2.0
334688,1,9966.0
334687,0,22.0
334680,0,82.0
334677,0,8.0
334674,0,4268.0
334672,0,127.0
334671,0,76.0
334670,1,10765.0
334667,0,0.0
334665,0,745.0
334664,0,153.0
334661,0,62.0
334658,0,11.0
334657,0,205.0
334655,0,165.0
334654,0,151.0
334652,0,151.0
334649,0,100.0
334648,0,636.0
334645,0,0.0
334644,0,1073.0
334643,0,25.0
334642,0,18.0
334641,0,111.0
334638,0,284.0
334637,0,61.0
334634,0,1666.0
334633,0,432.0
334627,1,36644.0
334626,0,59.0
334625,1,8392.0
334624,0,432.0
334620,0,1550.0
334612,0,95.0
334609,0,0.0
334607,0,1360.0
334606,1,21733.0
334604,0,3408.0
334602,1,16861.0
334594,0,576.0
334593,0,723.0
334591,0,986.0
334584,0,330.0
334568,1,12727.0
334566,0,75.0
334559,0,76.0
334554,0,200.0
334549,0,49.0
334546,0,61.0
334545,0,4.0
334544,0,1680.0
334540,0,4.0
334539,0,16.0
334538,0,48.0
334535,0,810.0
334534,0,2203.0
334533,0,6.0
334532,1,11956.0
334531,1,11892.0
334530,1,12036.0
334529,1,11901.0
334528,0,908.0
334526,0,112.0
334524,1,15506.0
334522,0,516.0
334521,1,7295.0
334520,0,889.0
334518,0,242.0
334516,0,66.0
334515,0,274.0
334514,1,11000.0
334513,1,56633.0
334512,0,3977.0
334510,1,12747.0
334509,0,1216.0
334507,1,29439.0
334506,0,8.0
334505,0,1.0
334498,0,579.0
334493,0,31.0
334490,0,260.0
334488,0,71.0
334487,0,381.0
334471,0,14.0
334465,0,128.0
334452,0,639.0
334450,0,3.0
334449,0,308.0
334446,0,372.0
334430,0,1.0
334426,0,48.0
334418,0,942.0
334417,1,37277.0
334416,0,102.0
334413,0,183.0
334412,0,13.0
334411,0,73.0
334410,0,282.0
334408,0,417.0
334402,0,899.0
334393,0,520.0
334390,0,127.0
334388,0,148.0
334385,0,277.0
334384,0,125.0
334382,0,26.0
334381,0,177.0
334379,0,64.0
334378,1,19214.0
334377,0,114.0
334376,0,63.0
334375,0,2272.0
334374,0,303.0
334373,0,50.0
334372,0,44.0
334371,1,43111.0
334370,1,20474.0
334369,1,42789.0
334368,0,1112.0
334367,0,640.0
334366,0,3969.0
334365,0,10.0
334363,0,71.0
334361,0,11.0
334358,0,1287.0
334357,0,4.0
334356,0,1174.0
334354,1,13316.0
334353,0,962.0
334348,0,167.0
334346,0,8.0
334344,0,57.0
334342,0,2.0
334341,1,29992.0
334339,0,4.0
334338,0,252.0
334337,0,115.0
334336,0,22.0
334335,0,159.0
334333,0,57.0
334332,1,43229.0
334331,0,74.0
334330,0,162.0
334329,0,220.0
334328,0,432.0
334327,0,188.0
334325,0,2.0
334324,0,230.0
334322,1,19992.0
334320,0,879.0
334319,0,46.0
334318,0,90.0
334317,0,52.0
334316,1,17166.0
334313,0,9.0
334312,1,22444.0
334311,0,20.0
334310,0,227.0
334309,0,12.0
334308,0,322.0
334307,1,9523.0
334306,1,4985.0
334304,0,19.0
334303,0,1205.0
334302,0,45.0
334301,0,217.0
334300,1,5875.0
334299,0,42.0
334297,0,225.0
334295,0,68.0
334294,0,95.0
334290,0,75.0
334289,0,452.0
334287,0,186.0
334280,0,2.0
334279,0,149.0
334278,0,570.0
334277,0,12.0
334276,0,56.0
334270,1,27812.0
334269,0,244.0
334260,0,220.0
334259,0,78.0
334258,0,96.0
334255,0,52.0
334250,1,9863.0
334249,1,14332.0
334245,0,399.0
334242,0,47.0
334240,0,1132.0
334238,0,6.0
334237,0,4.0
334235,0,41.0
334233,1,15133.0
334231,0,30.0
334230,0,9.0
334226,0,781.0
334224,0,137.0
334223,0,0.0
334222,0,513.0
334221,0,331.0
334215,0,97.0
334213,0,71.0
334212,0,286.0
334209,0,471.0
334208,0,45.0
334205,1,17466.0
334204,0,99.0
334203,0,10.0
334202,0,4.0
334197,0,315.0
334192,1,37989.0
334191,0,77.0
334189,0,42.0
334188,0,6.0
334184,1,34269.0
334180,0,313.0
334179,0,22.0
334177,0,720.0
334176,0,153.0
334175,0,8.0
334163,1,18493.0
334154,0,178.0
334151,0,107.0
334150,1,34345.0
334147,0,33.0
334146,0,662.0
334145,0,272.0
334143,0,477.0
334141,1,35735.0
334140,0,0.0
334139,0,10.0
334137,0,23.0
334136,0,872.0
334135,0,70.0
334133,0,381.0
334132,0,99.0
334131,0,400.0
334130,0,410.0
334129,1,27212.0
334128,1,15427.0
334127,0,998.0
334125,0,57.0
334124,0,266.0
334123,0,138.0
334122,0,985.0
334120,0,88.0
334118,0,117.0
334117,0,0.0
334116,0,1310.0
334115,1,175025.0
334113,0,1009.0
334111,0,3201.0
334110,0,50.0
334108,0,2141.0
334105,0,3207.0
334104,0,303.0
334103,0,75.0
334102,0,75.0
334101,0,1403.0
334100,0,20.0
334098,0,124.0
334096,0,83.0
334095,0,72.0
334094,0,56.0
334091,1,13074.0
334089,1,9165.0
334087,0,157.0
334086,1,10888.0
334085,0,55.0
334084,0,4005.0
334083,0,25.0
334082,0,43.0
334081,1,16181.0
334080,0,1045.0
334079,0,574.0
334078,0,120.0
334072,0,411.0
334071,0,586.0
334068,0,1351.0
334067,0,50.0
334066,0,183.0
334065,0,279.0
334063,1,25768.0
334060,0,6.0
334057,0,186.0
334056,0,165.0
334053,0,0.0
334052,0,37.0
334051,0,56.0
334049,0,486.0
334048,0,56.0
334047,0,0.0
334045,0,456.0
334044,0,433.0
334043,0,496.0
334042,0,1567.0
334040,0,210.0
334039,0,56.0
334038,0,42.0
334037,0,63.0
334036,0,783.0
334034,0,474.0
334032,0,250.0
334030,0,5.0
334026,0,6.0
334025,0,28.0
334024,0,27.0
334022,0,3391.0
334021,0,48.0
334013,0,21.0
334011,0,101.0
334010,0,401.0
334008,0,271.0
334005,0,185.0
334003,0,803.0
334002,0,28.0
334001,0,45.0
334000,1,16958.0
333999,0,75.0
333998,0,277.0
333992,0,3049.0
333991,0,144.0
333989,0,569.0
333987,0,58.0
333986,0,66.0
333985,0,231.0
333984,0,75.0
333982,1,21596.0
333981,0,111.0
333980,0,56.0
333973,0,1067.0
333970,0,148.0
333969,0,96.0
333968,1,7795.0
333965,1,57844.0
333964,0,1124.0
333963,1,15779.0
333962,0,62.0
333961,0,164.0
333960,0,2.0
333959,0,19.0
333956,0,270.0
333955,1,17017.0
333953,0,32.0
333952,0,0.0
333949,0,6.0
333946,0,42.0
333945,0,11.0
333943,1,27215.0
333942,0,176.0
333938,0,230.0
333937,0,253.0
333936,0,0.0
333930,0,1501.0
333928,0,330.0
333926,0,823.0
333925,0,16.0
333923,0,137.0
333922,1,6194.0
333921,0,1133.0
333920,0,554.0
333919,0,98.0
333917,0,492.0
333916,0,199.0
333914,0,172.0
333909,1,26663.0
333908,0,101.0
333905,0,3.0
333904,0,11.0
333903,0,26.0
333902,0,3829.0
333899,0,148.0
333897,1,6482.0
333896,0,373.0
333893,0,24.0
333892,0,88.0
333891,0,0.0
333889,0,629.0
333888,0,53.0
333886,0,4623.0
333883,0,568.0
333881,0,0.0
333878,0,3.0
333874,0,56.0
333873,0,282.0
333872,0,377.0
333871,0,50.0
333870,0,158.0
333869,1,15424.0
333868,0,4.0
333864,0,702.0
333863,0,159.0
333862,0,2.0
333861,0,51.0
333859,0,224.0
333858,1,19105.0
333857,0,91.0
333855,0,52.0
333854,0,133.0
333853,0,1701.0
333851,0,1936.0
333847,0,196.0
333846,0,132.0
333844,0,127.0
333842,0,229.0
333840,1,15534.0
333839,0,1629.0
333838,0,26.0
333837,0,50.0
333835,0,439.0
333834,1,5970.0
333833,0,555.0
333831,0,72.0
333829,0,428.0
333827,0,591.0
333826,0,65.0
333825,0,1529.0
333823,0,679.0
333822,0,38.0
333821,0,46.0
333818,0,1390.0
333815,0,54.0
333813,0,4.0
333812,0,10.0
333811,0,279.0
333810,0,1214.0
333808,0,58.0
333804,0,58.0
333803,0,1733.0
333801,0,6.0
333800,0,214.0
333798,0,6.0
333796,0,3196.0
333795,0,0.0
333791,0,567.0
333789,0,152.0
333787,0,106.0
333784,1,8052.0
333782,0,335.0
333781,0,146.0
333780,0,29.0
333775,0,316.0
333774,0,68.0
333773,0,12.0
333767,0,2.0
333762,0,8.0
333756,0,1544.0
333754,0,10.0
333753,0,78.0
333751,0,41.0
333749,0,172.0
333748,0,6.0
333746,0,290.0
333745,0,64.0
333744,0,60.0
333743,0,26.0
333741,0,41.0
333739,0,2319.0
333737,0,22.0
333736,0,1644.0
333734,0,63.0
333733,0,13.0
333732,0,72.0
333727,1,39250.0
333719,0,19.0
333712,0,66.0
333710,0,574.0
333708,0,2.0
333707,0,205.0
333706,1,5170.0
333705,0,6.0
333704,0,205.0
333703,0,78.0
333702,1,37700.0
333698,0,4051.0
333697,1,19562.0
333696,0,316.0
333694,1,6408.0
333693,1,16553.0
333692,0,32.0
333689,1,9901.0
333687,1,10591.0
333683,0,107.0
333676,0,0.0
333673,0,14.0
333669,0,0.0
333668,0,265.0
333666,0,1011.0
333664,1,7995.0
333663,0,1107.0
333662,0,0.0
333661,0,23.0
333657,0,17.0
333655,0,0.0
333654,0,467.0
333653,0,11.0
333651,0,9.0
333650,0,22.0
333649,0,12.0
333647,0,36.0
333646,0,1320.0
333645,0,894.0
333641,0,186.0
333640,0,32.0
333638,0,43.0
333636,0,0.0
333635,0,3685.0
333634,1,14277.0
333632,0,1431.0
333629,0,93.0
333628,0,18.0
333627,0,59.0
333626,0,855.0
333620,0,76.0
333618,0,553.0
333617,0,49.0
333615,0,69.0
333614,0,343.0
333612,0,0.0
333611,0,27.0
333610,0,108.0
333608,0,56.0
333606,0,10.0
333604,0,14.0
333603,0,76.0
333602,0,12.0
333597,0,232.0
333596,0,13.0
333595,0,384.0
333590,0,292.0
333582,0,192.0
333580,0,309.0
333579,0,702.0
333575,0,412.0
333574,0,8.0
333573,0,135.0
333570,0,80.0
333568,0,218.0
333567,0,232.0
333566,0,118.0
333565,0,2.0
333563,0,99.0
333558,0,209.0
333554,0,6.0
333541,1,6465.0
333539,0,740.0
333532,0,158.0
333531,0,1234.0
333530,0,12.0
333526,0,354.0
333525,0,742.0
333524,0,1588.0
333511,0,51.0
333508,0,26.0
333499,0,21.0
333495,0,8.0
333488,0,95.0
333477,0,87.0
333475,0,203.0
333473,0,53.0
333472,0,222.0
333466,0,16.0
333465,0,4.0
333464,0,2.0
333463,0,522.0
333457,0,653.0
333454,0,1208.0
333448,0,939.0
333443,0,0.0
333441,0,90.0
333439,0,12.0
333438,0,9.0
333436,0,624.0
333435,0,96.0
333432,0,153.0
333431,0,12.0
333429,0,116.0
333428,0,514.0
333426,0,779.0
333423,0,785.0
333418,0,40.0
333412,1,768347.0
333411,0,2.0
333410,0,2477.0
333404,0,632.0
333399,0,26.0
333398,0,62.0
333397,0,108.0
333394,1,5270.0
333391,1,6972.0
333390,0,56.0
333389,0,668.0
333385,0,5.0
333383,1,16985.0
333381,0,4.0
333376,0,148.0
333372,0,266.0
333365,1,18872.0
333363,0,173.0
333360,0,123.0
333359,0,85.0
333356,0,23.0
333353,0,40.0
333350,1,23559.0
333340,0,58.0
333336,0,30.0
333334,0,226.0
333333,0,102.0
333328,0,600.0
333326,1,21761.0
333319,0,112.0
333318,0,1310.0
333314,0,90.0
333308,0,132.0
333307,0,14.0
333304,0,406.0
333302,0,104.0
333300,0,126.0
333296,1,23121.0
333295,0,290.0
333291,0,452.0
333290,0,120.0
333289,0,249.0
333288,1,14097.0
333287,0,478.0
333286,1,25634.0
333285,0,92.0
333282,0,195.0
333281,1,7152.0
333279,0,42.0
333277,0,692.0
333275,1,29842.0
333274,0,189.0
333273,0,285.0
333272,0,344.0
333271,1,10810.0
333264,0,182.0
333263,1,30252.0
333262,0,89.0
333260,0,191.0
333258,0,17.0
333256,1,28570.0
333251,0,973.0
333249,1,5991.0
333247,0,64.0
333244,0,0.0
333243,0,105.0
333241,0,4.0
333240,0,2764.0
333238,1,5514.0
333236,0,0.0
333235,0,99.0
333231,0,17.0
333227,0,22.0
333226,1,15747.0
333222,0,2.0
333218,0,242.0
333216,0,396.0
333215,0,1305.0
333214,0,219.0
333212,0,47.0
333211,0,798.0
333206,0,0.0
333201,0,158.0
333200,0,83.0
333198,0,1041.0
333196,1,21153.0
333195,0,54.0
333191,0,1735.0
333189,1,13903.0
333187,0,40.0
333186,0,72.0
333185,0,439.0
333184,0,672.0
333183,0,0.0
333182,0,162.0
333181,0,490.0
333179,0,51.0
333171,0,1425.0
333169,0,82.0
333167,0,501.0
333166,0,2.0
333165,0,26.0
333164,0,83.0
333163,0,245.0
333162,0,213.0
333161,0,216.0
333158,0,18.0
333157,1,12815.0
333155,1,38945.0
333152,0,29.0
333144,0,412.0
333138,0,120.0
333137,0,9.0
333135,0,123.0
333133,0,104.0
333130,1,47248.0
333127,1,21699.0
333126,0,4.0
333124,0,4.0
333122,0,195.0
333120,1,10596.0
333117,0,41.0
333115,0,469.0
333110,0,213.0
333108,0,740.0
333105,0,2.0
333103,0,1053.0
333102,0,414.0
333101,0,0.0
333098,0,1810.0
333096,0,809.0
333094,0,7.0
333091,0,10.0
333090,0,16.0
333088,0,90.0
333086,0,128.0
333084,0,334.0
333083,0,288.0
333082,0,73.0
333081,0,40.0
333080,1,11765.0
333078,0,935.0
333076,0,61.0
333075,0,33.0
333074,0,32.0
333073,0,1310.0
333072,0,200.0
333061,0,305.0
333059,0,6.0
333058,0,4.0
333057,0,436.0
333056,0,1001.0
333055,0,57.0
333052,0,2785.0
333051,0,2869.0
333050,0,111.0
333048,0,22.0
333047,0,48.0
333045,1,11756.0
333044,0,142.0
333043,0,36.0
333041,1,8299.0
333040,0,120.0
333038,1,15901.0
333036,0,1656.0
333032,1,18411.0
333031,0,4582.0
333030,1,18370.0
333029,0,321.0
333028,0,15.0
333027,0,794.0
333022,0,34.0
333021,0,13.0
333014,1,9742.0
333011,0,144.0
333010,0,0.0
333008,0,75.0
333003,0,5.0
333000,0,104.0
332999,0,0.0
332998,1,20300.0
332994,0,39.0
332992,0,3365.0
332989,0,2.0
332987,1,16625.0
332985,1,43056.0
332984,0,139.0
332982,1,7702.0
332981,0,143.0
332979,0,1197.0
332977,0,112.0
332976,0,22.0
332974,0,106.0
332971,0,971.0
332970,0,56.0
332968,0,220.0
332967,0,467.0
332966,0,430.0
332965,0,1509.0
332964,0,442.0
332963,0,852.0
332962,0,384.0
332961,0,1155.0
332958,0,2.0
332953,0,118.0
332952,1,31432.0
332951,0,1001.0
332950,1,17955.0
332948,1,29583.0
332945,0,172.0
332943,0,38.0
332942,0,0.0
332941,0,201.0
332939,0,275.0
332937,1,6122.0
332935,0,2092.0
332932,0,2656.0
332931,0,0.0
332929,1,49566.0
332926,0,193.0
332923,0,66.0
332922,0,0.0
332918,0,231.0
332916,0,17.0
332911,0,333.0
332909,0,139.0
332908,0,55.0
332904,0,2787.0
332900,0,13.0
332899,0,86.0
332895,0,1.0
332893,0,207.0
332892,0,474.0
332891,0,211.0
332890,1,5252.0
332878,0,129.0
332876,0,292.0
332875,0,6.0
332874,0,59.0
332872,0,77.0
332869,0,279.0
332864,0,101.0
332863,0,164.0
332855,0,354.0
332844,0,143.0
332841,0,903.0
332839,0,129.0
332838,0,2538.0
332835,0,80.0
332834,1,27409.0
332833,1,5320.0
332828,1,22058.0
332827,1,58366.0
332826,1,10651.0
332825,0,3669.0
332824,0,0.0
332823,0,121.0
332822,0,74.0
332821,0,150.0
332820,1,10689.0
332818,0,4.0
332817,0,15.0
332815,0,10.0
332814,0,22.0
332813,0,18.0
332812,1,9293.0
332809,1,16872.0
332807,0,112.0
332804,0,284.0
332803,1,12626.0
332802,0,26.0
332801,0,628.0
332800,0,379.0
332799,1,16175.0
332796,0,1.0
332795,1,12434.0
332793,0,170.0
332792,0,806.0
332791,0,349.0
332789,0,978.0
332788,1,4993.0
332786,0,7.0
332785,0,78.0
332784,0,599.0
332783,1,21894.0
332781,1,52339.0
332779,0,796.0
332776,1,159227.0
332773,1,16265.0
332767,1,11764.0
332766,1,17439.0
332762,0,28.0
332760,1,10111.0
332759,0,768.0
332758,1,20564.0
332757,0,909.0
332756,0,4.0
332750,0,45.0
332745,1,27275.0
332743,0,2.0
332742,1,6530.0
332739,0,0.0
332738,0,34.0
332735,0,46.0
332731,0,35.0
332728,0,596.0
332726,1,43609.0
332723,0,154.0
332722,0,17.0
332720,0,2011.0
332718,0,9.0
332716,0,58.0
332714,0,4.0
332713,0,51.0
332709,0,2.0
332708,0,0.0
332705,0,94.0
332704,0,9.0
332703,0,224.0
332697,1,32647.0
332696,0,62.0
332691,0,1563.0
332689,1,7937.0
332687,0,1487.0
332685,0,734.0
332681,0,262.0
332680,0,3784.0
332677,0,162.0
332674,1,29475.0
332669,1,15900.0
332668,0,72.0
332664,0,227.0
332661,0,22.0
332660,0,756.0
332658,0,0.0
332657,0,2304.0
332656,0,288.0
332655,1,22637.0
332654,0,2132.0
332653,0,227.0
332649,0,119.0
332646,0,13.0
332645,0,657.0
332643,0,198.0
332639,1,17573.0
332638,0,226.0
332637,0,51.0
332636,0,81.0
332634,0,2391.0
332632,0,102.0
332630,0,84.0
332629,0,25.0
332628,0,73.0
332627,0,11.0
332626,0,99.0
332625,0,203.0
332624,0,64.0
332623,0,11.0
332621,1,12595.0
332612,0,97.0
332609,0,167.0
332608,0,954.0
332607,0,105.0
332606,0,697.0
332605,0,70.0
332604,0,7.0
332602,1,8488.0
332598,0,673.0
332594,0,3.0
332593,1,33489.0
332590,0,93.0
332589,0,236.0
332588,1,4775.0
332587,0,8.0
332586,1,16154.0
332585,0,2.0
332584,0,31.0
332583,0,4.0
332581,1,6083.0
332580,1,44112.0
332579,1,59061.0
332576,0,4.0
332574,0,147.0
332573,0,43.0
332572,0,62.0
332571,0,618.0
332569,0,259.0
332564,0,301.0
332562,0,53.0
332561,0,11.0
332558,0,0.0
332554,1,16799.0
332553,0,85.0
332552,0,0.0
332551,0,1.0
332550,0,168.0
332549,0,158.0
332548,0,129.0
332547,0,95.0
332544,1,39393.0
332541,0,118.0
332539,0,59.0
332538,0,1543.0
332535,0,164.0
332534,0,173.0
332533,0,596.0
332532,0,22.0
332531,0,113.0
332530,1,25623.0
332529,0,3.0
332528,0,129.0
332527,0,71.0
332524,0,31.0
332522,0,18.0
332521,0,113.0
332520,0,33.0
332519,0,3705.0
332517,0,206.0
332516,0,119.0
332512,0,401.0
332511,0,2743.0
332510,0,21.0
332509,0,22.0
332508,0,94.0
332504,0,2.0
332503,0,345.0
332499,0,89.0
332496,0,1880.0
332495,0,1051.0
332494,0,36.0
332489,0,4.0
332487,1,7496.0
332485,1,7787.0
332481,1,31037.0
332480,0,1842.0
332478,0,1.0
332476,1,15277.0
332475,0,1.0
332472,1,24301.0
332471,1,26171.0
332470,1,24566.0
332469,0,53.0
332466,0,9.0
332465,0,13.0
332463,0,2.0
332462,0,87.0
332461,1,153437.0
332460,0,1862.0
332458,1,39748.0
332457,0,1008.0
332456,0,390.0
332455,0,319.0
332454,0,274.0
332453,0,35.0
332452,0,8.0
332451,0,96.0
332450,0,145.0
332449,1,13668.0
332448,0,211.0
332447,0,96.0
332446,0,4097.0
332445,1,5675.0
332443,1,25348.0
332440,0,2611.0
332439,0,23.0
332438,0,137.0
332435,0,825.0
332427,1,9016.0
332426,0,106.0
332425,0,58.0
332424,1,19199.0
332421,1,89385.0
332419,1,44260.0
332415,0,329.0
332414,0,184.0
332413,0,58.0
332412,0,192.0
332411,0,34.0
332410,1,299896.0
332408,0,31.0
332405,0,192.0
332403,0,210.0
332401,0,58.0
332398,0,241.0
332397,0,260.0
332394,0,3115.0
332389,0,90.0
332388,0,3233.0
332382,0,243.0
332381,0,90.0
332375,0,375.0
332374,0,67.0
332372,0,5.0
332368,0,1240.0
332365,0,67.0
332355,0,65.0
332354,0,64.0
332350,0,64.0
332346,1,72724.0
332343,0,972.0
332340,1,45520.0
332338,0,15.0
332337,0,114.0
332334,1,37032.0
332332,1,196148.0
332330,1,68406.0
332329,0,2.0
332322,0,109.0
332321,0,180.0
332319,0,107.0
332317,0,122.0
332316,0,311.0
332315,0,12.0
332312,0,680.0
332311,0,102.0
332308,0,118.0
332307,0,133.0
332306,0,131.0
332304,0,32.0
332303,1,14907.0
332299,1,21979.0
332298,0,97.0
332297,0,237.0
332296,0,24.0
332293,0,622.0
