signal_type,period,warning_level,warning_count,warning_signals,evidence,affected_file,affected_developer
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.codex/agents/explorer.toml,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.codex/agents/reviewer.toml,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.codex/config.toml,devops2626
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.devcontainer/Dockerfile,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.devcontainer/README.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/README.md,aguashui
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/code-command-title-capitalization.ts,Genius740Code
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/code-no-accessor-after-await.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/code-no-declare-const-enum.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/code-no-icons-in-localized-strings.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/code-no-native-private.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/code-no-new-javascript-files.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/index.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.eslint-plugin-local/tests/code-command-title-capitalization-test.ts,Genius740Code
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/ISSUE_TEMPLATE/copilot_bug_report.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/agents/engineering.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/classifier.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/accessibility.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/ai-customization.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/coding-guidelines.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/interactive.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/kusto.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/notebook.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/oss.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/resources/interactive/interactive.editor.drawio.svg,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/resources/interactive/interactive.eh.drawio.svg,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/resources/interactive/interactive.model.resolution.drawio.svg,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/resources/notebook/cell-resize-above-viewport.drawio.svg,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/resources/notebook/hybrid-find.drawio.svg,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/resources/notebook/viewport-rendering.drawio.svg,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/instructions/writing-tests.instructions.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/prompts/find-duplicates.prompt.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/prompts/find-issue.prompt.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/prompts/issue-grouping.prompt.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/prompts/plan.prompt.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/author-contributions/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/auto-perf-optimize/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/auto-perf-optimize/scratchpad/.gitignore,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/auto-perf-optimize/scripts/chat-memory-smoke.mts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/auto-perf-optimize/scripts/chat-session-switch-smoke.mts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/auto-perf-optimize/scripts/userDataProfile.mts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/azure-pipelines/azure-pipeline.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/code-review/SKILL.md,sbatten
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/cpu-profile-analysis/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/helpers/compareSnapshots.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/helpers/findRetainers.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/helpers/parseSnapshot.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/helpers/streamSnapshot.mjs,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/scratchpad/.gitignore,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/heap-snapshot-analysis/scratchpad/README.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/memory-leak-audit/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/unit-tests/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/skills/vscode-dev-workbench/SKILL.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/workflows/check-clean-git-state.sh,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/workflows/no-package-lock-changes.yml,SimonSiefke
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.github/workflows/release.yml,lulujs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.kiro/specs/tscode-oauth-login/.config.kiro,lulujs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.kiro/specs/tscode-oauth-login/README.md,lulujs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.kiro/specs/tscode-oauth-login/design.md,lulujs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.kiro/specs/tscode-oauth-login/requirements.md,lulujs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.kiro/specs/tscode-oauth-login/tasks.md,lulujs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/cglicenses.schema.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-extras/package-lock.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-extras/package.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-extras/src/extension.ts,denizguney
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-extras/tsconfig.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-pr-pinger/.vscodeignore,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-pr-pinger/package-lock.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-pr-pinger/package.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-pr-pinger/src/extension.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-pr-pinger/tsconfig.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-import-aid/tsconfig.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-test-provider/package-lock.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-test-provider/package.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-test-provider/src/testOutputScanner.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-test-provider/src/testTree.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-test-provider/src/vscodeTestRunner.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/extensions/vscode-selfhost-test-provider/tsconfig.json,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/notebooks/my-work.github-issues,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,.vscode/notebooks/verification.github-issues,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,CONTRIBUTING.md,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,DESIGN.md,nugehs
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/.npmrc,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/agent-sdk/common.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/agent-sdk/produce.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/agent-sdk/upload.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/agent-sdk-produce.yml,SimonSiefke
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/apply-copilot-override.ts,pwang347
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/apply-copilot-override.yml,pwang347
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/build-copilot-runtime-target.ts,pwang347
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/buildCopilotOverride.ts,pwang347
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/checkDistroCommit.ts,SimonSiefke
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/configure-copilot-source-registry.ts,pwang347
KNOWLEDGE_CONCENTRATION,,MEDIUM,1,MEDIUM_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/copilotOverride.ts,pwang347
KNOWLEDGE_CONCENTRATION,,HIGH,1,HIGH_DEVELOPER_CONCENTRATION,Developer contribution concentration in a repository file.,build/azure-pipelines/common/copilotSource.ts,pwang347
