developer,files_touched,commits,changes,file_share,commit_share,change_share,developer_concentration,bottleneck_score,risk_level,evidence
SparshGarg999,780,7,109515,0.06964285714285715,0.00044877548403641495,0.0034990607666545498,0.024530231131182703,2.4530231131182703,LOW,"Observed contribution across 780 files, 7 commits, and 109515 changes."
chryw,705,113,98398,0.06294642857142857,0.007244518528016412,0.0031438668795806457,0.02444493799300854,2.444493799300854,LOW,"Observed contribution across 705 files, 113 commits, and 98398 changes."
vs-code-engineering[bot],537,367,35777,0.04794642857142857,0.023528657520194896,0.0011430936131908856,0.024206059901604782,2.420605990160478,LOW,"Observed contribution across 537 files, 367 commits, and 35777 changes."
lulujs,659,93,76337,0.05883928571428571,0.005962302859340941,0.0024390065447117597,0.022413531706112804,2.2413531706112804,LOW,"Observed contribution across 659 files, 93 commits, and 76337 changes."
jadefr,680,25,78923,0.060714285714285714,0.001602769585844339,0.0025216305792510347,0.02161289529312703,2.161289529312703,LOW,"Observed contribution across 680 files, 25 commits, and 78923 changes."
KlausKollerKroeff,694,12,59493,0.061964285714285715,0.0007693294012052828,0.0019008320521442647,0.021544815722545088,2.1544815722545088,LOW,"Observed contribution across 694 files, 12 commits, and 59493 changes."
houghj16,669,51,41315,0.05973214285714286,0.0032696499551224515,0.0013200355711485434,0.02144060946113795,2.144060946113795,LOW,"Observed contribution across 669 files, 51 commits, and 41315 changes."
Fahad090NP,642,31,118612,0.05732142857142857,0.0019874342864469804,0.0037897146112809157,0.02103285915638549,2.103285915638549,LOW,"Observed contribution across 642 files, 31 commits, and 118612 changes."
AnupamKumar-1,668,8,57844,0.05964285714285714,0.0005128862674701885,0.00184814565115615,0.020667963020494496,2.0667963020494495,LOW,"Observed contribution across 668 files, 8 commits, and 57844 changes."
hd-o,650,4,65940,0.05803571428571429,0.00025644313373509426,0.0021068170292033147,0.020132991482884232,2.0132991482884233,LOW,"Observed contribution across 650 files, 4 commits, and 65940 changes."
zmr-233,626,8,38913,0.05589285714285714,0.0005128862674701885,0.001243290431564886,0.019216344613964074,1.9216344613964074,LOW,"Observed contribution across 626 files, 8 commits, and 38913 changes."
Mir Imad Ahmed,603,24,52995,0.053839285714285715,0.0015386588024105655,0.0016932175987659944,0.019023720705154092,1.9023720705154092,LOW,"Observed contribution across 603 files, 24 commits, and 52995 changes."
kzhgit,602,4,47059,0.05375,0.00025644313373509426,0.0015035593354152076,0.018503334156383434,1.8503334156383433,LOW,"Observed contribution across 602 files, 4 commits, and 47059 changes."
Genius740Code,585,12,43730,0.05223214285714286,0.0007693294012052828,0.0013971960674410216,0.01813288944192972,1.813288944192972,LOW,"Observed contribution across 585 files, 12 commits, and 43730 changes."
sean-mcmanus,557,11,62101,0.04973214285714286,0.0007052186177715092,0.0019841589980369285,0.017473840157650432,1.747384015765043,LOW,"Observed contribution across 557 files, 11 commits, and 62101 changes."
AmariahAK,520,2,70091,0.04642857142857143,0.00012822156686754713,0.0022394436213814006,0.016265412205606792,1.6265412205606793,LOW,"Observed contribution across 520 files, 2 commits, and 70091 changes."
nicezic,529,3,38945,0.047232142857142854,0.0001923323503013207,0.0012443128480789066,0.016222929351841026,1.6222929351841024,LOW,"Observed contribution across 529 files, 3 commits, and 38945 changes."
martincheck,518,9,34764,0.04625,0.000576997050903962,0.0011107277404189268,0.01597924159710763,1.597924159710763,LOW,"Observed contribution across 518 files, 9 commits, and 34764 changes."
koubaki,518,3,41948,0.04625,0.0001923323503013207,0.0013402602478165097,0.015927530866039277,1.5927530866039277,LOW,"Observed contribution across 518 files, 3 commits, and 41948 changes."
Frankenstein-Labs,507,9,51242,0.045267857142857144,0.000576997050903962,0.0016372083441073136,0.015827354179289474,1.5827354179289475,LOW,"Observed contribution across 507 files, 9 commits, and 51242 changes."
a1exmozz,500,6,64632,0.044642857142857144,0.0003846647006026414,0.0020650257541927303,0.01569751586588417,1.5697515865884168,LOW,"Observed contribution across 500 files, 6 commits, and 64632 changes."
100jinwoo001,502,4,52233,0.044821428571428575,0.00025644313373509426,0.0016688713055258834,0.015582247670229851,1.5582247670229852,LOW,"Observed contribution across 502 files, 4 commits, and 52233 changes."
RyanEwen,419,123,37336,0.03741071428571428,0.007885626362354148,0.0011929044677333176,0.015496415038600582,1.5496415038600582,LOW,"Observed contribution across 419 files, 123 commits, and 37336 changes."
lfraleigh,474,18,77449,0.04232142857142857,0.001153994101807924,0.0024745355185739693,0.015316652730603487,1.5316652730603488,LOW,"Observed contribution across 474 files, 18 commits, and 77449 changes."
Yoyokrazy,486,7,13377,0.04339285714285714,0.00044877548403641495,0.000427402053376596,0.014756344893423383,1.4756344893423383,LOW,"Observed contribution across 486 files, 7 commits, and 13377 changes."
simonl65,466,3,42116,0.041607142857142856,0.0001923323503013207,0.0013456279345151168,0.014381701047319765,1.4381701047319764,LOW,"Observed contribution across 466 files, 3 commits, and 42116 changes."
Cab14bacc,456,4,35584,0.04071428571428572,0.00025644313373509426,0.0011369271635907,0.014035885337203837,1.4035885337203837,LOW,"Observed contribution across 456 files, 4 commits, and 35584 changes."
YuhongZeng,456,3,27057,0.04071428571428572,0.0001923323503013207,0.0008644851131203229,0.013923701059235787,1.3923701059235787,LOW,"Observed contribution across 456 files, 3 commits, and 27057 changes."
github-actions[bot],354,139,30618,0.031607142857142854,0.008911398897294524,0.000978260900821157,0.013832267551752845,1.3832267551752846,LOW,"Observed contribution across 354 files, 139 commits, and 30618 changes."
juninmd,425,8,21423,0.03794642857142857,0.0005128862674701885,0.0006844759056206038,0.01304793024817312,1.304793024817312,LOW,"Observed contribution across 425 files, 8 commits, and 21423 changes."
kunalpandey1,416,6,43443,0.037142857142857144,0.0003846647006026414,0.001388026269330901,0.012971849370930226,1.2971849370930226,LOW,"Observed contribution across 416 files, 6 commits, and 43443 changes."
RajeshKumar11,395,8,45081,0.03526785714285714,0.0005128862674701885,0.0014403612146423209,0.012407034874989883,1.2407034874989884,LOW,"Observed contribution across 395 files, 8 commits, and 45081 changes."
John-Wangson,370,23,71890,0.033035714285714286,0.001474548018976792,0.0022969225997789854,0.012269061634823353,1.2269061634823353,LOW,"Observed contribution across 370 files, 23 commits, and 71890 changes."
rwoll,381,24,11470,0.03401785714285714,0.0015386588024105655,0.000366472419244192,0.0119743294548373,1.19743294548373,LOW,"Observed contribution across 381 files, 24 commits, and 11470 changes."
Bosphoramus,390,8,16705,0.03482142857142857,0.0005128862674701885,0.000533733370834719,0.01195601606991116,1.195601606991116,LOW,"Observed contribution across 390 files, 8 commits, and 16705 changes."
YVbakker,373,6,23127,0.033303571428571425,0.0003846647006026414,0.0007389195849921909,0.011475718571388752,1.147571857138875,LOW,"Observed contribution across 373 files, 6 commits, and 23127 changes."
MortMH,361,8,30951,0.032232142857142855,0.0005128862674701885,0.0009889004226701819,0.011244643182427743,1.1244643182427743,LOW,"Observed contribution across 361 files, 8 commits, and 30951 changes."
PathGao,362,5,26663,0.03232142857142857,0.0003205539171688678,0.0008518966097914465,0.011164626366129629,1.1164626366129629,LOW,"Observed contribution across 362 files, 5 commits, and 26663 changes."
sandersaares,328,36,28119,0.029285714285714286,0.002307988203615848,0.0008984165611793753,0.010830706350169835,1.0830706350169834,LOW,"Observed contribution across 328 files, 36 commits, and 28119 changes."
nguyenvanduc208,342,6,33285,0.030535714285714284,0.0003846647006026414,0.0010634729271615459,0.010661283971159492,1.0661283971159492,LOW,"Observed contribution across 342 files, 6 commits, and 33285 changes."
RohithPariki,323,31,17248,0.028839285714285713,0.0019874342864469804,0.0005510825010570029,0.010459267500596565,1.0459267500596565,LOW,"Observed contribution across 323 files, 31 commits, and 17248 changes."
liangmiQwQ,325,5,51196,0.029017857142857144,0.0003205539171688678,0.0016357386203684093,0.010324716560131474,1.0324716560131473,LOW,"Observed contribution across 325 files, 5 commits, and 51196 changes."
unbadfish,323,9,32637,0.028839285714285713,0.000576997050903962,0.0010427689927526324,0.010153017252647436,1.0153017252647436,LOW,"Observed contribution across 323 files, 9 commits, and 32637 changes."
matbmoser,325,9,25545,0.029017857142857144,0.000576997050903962,0.0008161759328328583,0.010137010042197988,1.013701004219799,LOW,"Observed contribution across 325 files, 9 commits, and 25545 changes."
LuckysHorizon,326,11,17590,0.029107142857142856,0.0007052186177715092,0.0005620095775505961,0.010124790350821653,1.0124790350821653,LOW,"Observed contribution across 326 files, 11 commits, and 17590 changes."
jonkloske,324,5,32845,0.02892857142857143,0.0003205539171688678,0.0010494147000937651,0.010099513348611354,1.0099513348611355,LOW,"Observed contribution across 324 files, 5 commits, and 32845 changes."
Sravan1011,327,6,18930,0.02919642857142857,0.0003846647006026414,0.0006048232690752009,0.010061972180368804,1.0061972180368803,LOW,"Observed contribution across 327 files, 6 commits, and 18930 changes."
kakiuwang-ui,316,6,37882,0.028214285714285713,0.0003846647006026414,0.0012103494495037908,0.009936433288130715,0.9936433288130715,LOW,"Observed contribution across 316 files, 6 commits, and 37882 changes."
MythUp,314,8,22333,0.028035714285714285,0.0005128862674701885,0.0007135508752380593,0.009754050476140844,0.9754050476140844,LOW,"Observed contribution across 314 files, 8 commits, and 22333 changes."
nengelmann,318,4,15133,0.028392857142857143,0.00025644313373509426,0.0004835071595834662,0.009710935812058568,0.9710935812058569,LOW,"Observed contribution across 318 files, 4 commits, and 15133 changes."
zainnadeem786,310,9,27390,0.027678571428571427,0.000576997050903962,0.0008751246349693478,0.009710231038148246,0.9710231038148246,LOW,"Observed contribution across 310 files, 9 commits, and 27390 changes."
DanielRosenwasser,306,8,38258,0.027321428571428573,0.0005128862674701885,0.0012223628435435309,0.009685559227480765,0.9685559227480764,LOW,"Observed contribution across 306 files, 8 commits, and 38258 changes."
filipw,306,4,42168,0.027321428571428573,0.00025644313373509426,0.0013472893613504001,0.00964172035550469,0.9641720355504689,LOW,"Observed contribution across 306 files, 4 commits, and 42168 changes."
vsimoesbh,309,7,26340,0.027589285714285715,0.00044877548403641495,0.000841576593103053,0.00962654593047506,0.962654593047506,LOW,"Observed contribution across 309 files, 7 commits, and 26340 changes."
ousamabenyounes,311,9,16590,0.027767857142857143,0.000576997050903962,0.0005300590614874582,0.009624971085082853,0.9624971085082854,LOW,"Observed contribution across 311 files, 9 commits, and 16590 changes."
0x5t4l1n,307,6,31929,0.027410714285714285,0.0003846647006026414,0.0010201480273799308,0.009605175671232286,0.9605175671232286,LOW,"Observed contribution across 307 files, 6 commits, and 31929 changes."
dobbydobap,306,9,27034,0.027321428571428573,0.000576997050903962,0.0008637502512508707,0.009587391957861135,0.9587391957861134,LOW,"Observed contribution across 306 files, 9 commits, and 27034 changes."
wriglz,309,4,20197,0.027589285714285715,0.00025644313373509426,0.0006453045729271967,0.009497011140316003,0.9497011140316003,LOW,"Observed contribution across 309 files, 4 commits, and 20197 changes."
Alexoswin,308,6,18335,0.0275,0.0003846647006026414,0.0005858127120176339,0.009490159137540092,0.9490159137540092,LOW,"Observed contribution across 308 files, 6 commits, and 18335 changes."
Benny Neugebauer,310,3,18597,0.027678571428571427,0.0001923323503013207,0.000594183747226176,0.00948836250869964,0.948836250869964,LOW,"Observed contribution across 310 files, 3 commits, and 18597 changes."
Ultron09,306,7,21422,0.027321428571428573,0.00044877548403641495,0.0006844439551045407,0.009484882670189843,0.9484882670189843,LOW,"Observed contribution across 306 files, 7 commits, and 21422 changes."
sukurcf,307,4,22103,0.027410714285714285,0.00025644313373509426,0.0007062022565435376,0.009457786558664305,0.9457786558664305,LOW,"Observed contribution across 307 files, 4 commits, and 22103 changes."
gwwar,303,4,32501,0.02705357142857143,0.00025644313373509426,0.0010384237225680457,0.009449479428291524,0.9449479428291524,LOW,"Observed contribution across 303 files, 4 commits, and 32501 changes."
jamestut,302,2,38522,0.026964285714285715,0.00012822156686754713,0.0012307977797841993,0.009441101686979153,0.9441101686979153,LOW,"Observed contribution across 302 files, 2 commits, and 38522 changes."
jibin7jose,303,4,28869,0.02705357142857143,0.00025644313373509426,0.0009223794482267288,0.009410798003511084,0.9410798003511084,LOW,"Observed contribution across 303 files, 4 commits, and 28869 changes."
nsfxdyj,306,6,15113,0.027321428571428573,0.0003846647006026414,0.00048286814926220347,0.009396320473764474,0.9396320473764473,LOW,"Observed contribution across 306 files, 6 commits, and 15113 changes."
midnights-ra1n,39,1,768347,0.0034821428571428573,6.411078343377356e-05,0.024549083165563836,0.009365112268713489,0.9365112268713489,LOW,"Observed contribution across 39 files, 1 commits, and 768347 changes."
Sudhanva10,307,2,16181,0.027410714285714285,0.00012822156686754713,0.0005169913004176347,0.009351975717666489,0.9351975717666489,LOW,"Observed contribution across 307 files, 2 commits, and 16181 changes."
conwnet,302,3,27463,0.026964285714285715,0.0001923323503013207,0.0008774570226419569,0.009344691695742997,0.9344691695742997,LOW,"Observed contribution across 302 files, 3 commits, and 27463 changes."
Davixk,307,3,11668,0.027410714285714285,0.0001923323503013207,0.0003727986214246933,0.009325281752480099,0.9325281752480099,LOW,"Observed contribution across 307 files, 3 commits, and 11668 changes."
IkeStudios,302,2,23487,0.026964285714285715,0.00012822156686754713,0.0007504217707749205,0.009280976350642728,0.9280976350642728,LOW,"Observed contribution across 302 files, 2 commits, and 23487 changes."
xia-chao,304,3,12815,0.027142857142857142,0.0001923323503013207,0.0004094458633491125,0.009248211785502525,0.9248211785502525,LOW,"Observed contribution across 304 files, 3 commits, and 12815 changes."
WahidSaeed,302,2,20225,0.026964285714285715,0.00012822156686754713,0.0006461991873769645,0.009246235489510075,0.9246235489510075,LOW,"Observed contribution across 302 files, 2 commits, and 20225 changes."
Diyor-Khasanov-dev,303,2,16281,0.02705357142857143,0.00012822156686754713,0.0005201863520239486,0.009233993115820975,0.9233993115820975,LOW,"Observed contribution across 303 files, 2 commits, and 16281 changes."
Aniket-a14,301,2,21761,0.026875,0.00012822156686754713,0.0006952751800499444,0.009232832248972497,0.9232832248972497,LOW,"Observed contribution across 301 files, 2 commits, and 21761 changes."
ymaldor1,302,2,17257,0.026964285714285715,0.00012822156686754713,0.0005513700557015712,0.00921462577895161,0.9214625778951611,LOW,"Observed contribution across 302 files, 2 commits, and 17257 changes."
andrejhabic100-boop,300,1,23559,0.026785714285714284,6.411078343377356e-05,0.0007527222079314664,0.00920084909235984,0.9200849092359841,LOW,"Observed contribution across 300 files, 1 commits, and 23559 changes."
NAVEENKUMARKR777,301,2,18064,0.026875,0.00012822156686754713,0.0005771541221645235,0.00919345856301069,0.919345856301069,LOW,"Observed contribution across 301 files, 2 commits, and 18064 changes."
mateusabelli,301,2,15503,0.026875,0.00012822156686754713,0.0004953288505268273,0.009166183472464791,0.9166183472464791,LOW,"Observed contribution across 301 files, 2 commits, and 15503 changes."
miku1958,300,1,18641,0.026785714285714284,6.411078343377356e-05,0.0005955895699329541,0.009148471546360337,0.9148471546360337,LOW,"Observed contribution across 300 files, 1 commits, and 18641 changes."
logical-and,300,1,13651,0.026785714285714284,6.411078343377356e-05,0.00043615649477789584,0.009095327187975318,0.9095327187975318,LOW,"Observed contribution across 300 files, 1 commits, and 13651 changes."
alexdima,267,32,15342,0.023839285714285716,0.002051545069880754,0.0004901848174406621,0.008793671867202377,0.8793671867202377,LOW,"Observed contribution across 267 files, 32 commits, and 15342 changes."
juliagongms,259,11,56064,0.023125,0.0007052186177715092,0.0017912737325637648,0.008540497450111758,0.8540497450111758,LOW,"Observed contribution across 259 files, 11 commits, and 56064 changes."
arnohillen,265,7,29619,0.023660714285714285,0.00044877548403641495,0.0009463423352740822,0.00835194403500826,0.8351944035008261,LOW,"Observed contribution across 265 files, 7 commits, and 29619 changes."
GujjetiMokshith,264,3,29605,0.023571428571428573,0.0001923323503013207,0.0009458950280491983,0.008236551983259696,0.8236551983259696,LOW,"Observed contribution across 264 files, 3 commits, and 29605 changes."
demibabs,251,6,22154,0.022410714285714287,0.0003846647006026414,0.0007078317328627576,0.007834403573059897,0.7834403573059897,LOW,"Observed contribution across 251 files, 6 commits, and 22154 changes."
arronKler,236,9,25344,0.02107142857142857,0.000576997050903962,0.0008097538791041676,0.0074860598338122334,0.7486059833812233,LOW,"Observed contribution across 236 files, 9 commits, and 25344 changes."
sbatten,208,37,8864,0.018571428571428572,0.0023720989870496217,0.0002832093743836546,0.007075578977620616,0.7075578977620617,LOW,"Observed contribution across 208 files, 37 commits, and 8864 changes."
Paul Wang,210,17,14006,0.01875,0.0010898833183741504,0.0004474989279803098,0.006762460748784819,0.676246074878482,LOW,"Observed contribution across 210 files, 17 commits, and 14006 changes."
satarupaguha11,201,3,8840,0.01794642857142857,0.0001923323503013207,0.00028244256199813926,0.0061404011612426765,0.6140401161242677,LOW,"Observed contribution across 201 files, 3 commits, and 8840 changes."
24anisha,193,7,6501,0.017232142857142856,0.00044877548403641495,0.00020771030492645965,0.005962876215368576,0.5962876215368575,LOW,"Observed contribution across 193 files, 7 commits, and 6501 changes."
