developer,files_per_developer,commits_per_developer
amunger,1686,165
andrejhabic100-boop,300,2
ansonauhk,3,2
anthonykim1,1852,254
arham766,4,2
arloor,1,2
arnohillen,265,7
arpankanwer,983,11
arronKler,236,9
arun-357,3,2
aruru,1,1
arvindashtekar,806,5
asJEI,6,6
asd142513,1,1
ashykng,1,1
atlarix-agent,1,2
atomlong,2,1
aturzone,1,2
austintraver,6,2
ayanamist,2,1
baywet,6,8
benelog,3,2
benibenj,3742,661
benny779,2,2
benvillalobos,3123,360
bhavyaus,708,157
bjgiraudon,1,1
bompus,3,4
bonsembiante,50,5
bot,1,1
boygeniusnr1,4,4
bozturkler,7,1
brandonh-msft,102,18
breck7,1,1
brignano,1,1
brovaset,3,4
bryanchen-d,1641,68
bstee615,888,58
bwateratmsft,855,7
caojian5,12,1
caseyflynn-google,10,1
cdvankammen,27,1
cesaryuan,1,1
chenlichao,1,1
chrmarti,1409,140
chryw,705,113
cipheraxat,1686,93
claude,1,1
clintharrison,2,1
colinhacks,3,1
connor4312,4087,499
conwnet,302,3
cursoragent,29,4
cwebster-99,1181,36
damster101,1,1
davidbitton,5,4
dbaeumer,2790,113
deepak1556,110,94
deepika-rattewal,1,1
demibabs,251,6
denizguney,31,71
dependabot[bot],59,95
dev-hari-prasad,4,1
devops2626,2668,52
dhufnagel,1,1
di3go04,3,6
digitarald,1899,89
dileepyavan,3263,176
dmitrivMS,5337,647
dnch13,11,15
dobbydobap,306,9
dsavy4,984,13
ecc-tools[bot],11,33
edvilme,16,29
egamma,8,9
eli-w-king,806,55
emxs1,1,2
euxx,1,1
federicobrancasi,156,25
felipetruman,1,1
filipw,306,4
fuentez145,132,1
gagalo123,6,2
gaspardruan,4,1
github-actions[bot],354,139
google-labs-jules[bot],3,1
gpotter2,9,1
guihuaz,3,1
guimmd2,5,2
guuruu8,1,1
gwwar,303,4
hadley,1,1
haoozhang,43,2
haozhang,33,3
harinath02,2,3
hawkticehurst,1977,145
hd-o,650,4
hediet,1427,185
hi-jie,3,1
houghj16,669,51
hyperthreading,3,1
iamkaleemsajjad-hue,4,2
ibr101010-bot,2,2
invalid-email-address,3,1
ipanasenko,934,5
irontaek,1,1
iuliand-db,2,1
jacekkopecky,9,1
jadefr,680,25
jamestut,302,2
jatjat,2,1
jaxsonbunch,2,1
jibin7jose,303,4
jlelong,3,4
joltcoke,1,1
jonkloske,324,5
joseanoxp,3,2
joshmouch,24,7
joshspicer,1543,220
jrbarkin,2,2
jruales,1098,201
judyks,5,1
jukasper,1,1
jul-stevenson,10,8
juliagongms,259,11
juninmd,425,8
justanotheranonymoususer,6,8
justjavac,2,3
justschen,3790,415
jvPalma,1,1
jyje,1716,29
kaermorchen,28,1
kafeifei,20,4
kakiuwang-ui,316,6
karthiknadig,4,1
kartikmehta-msft,3,1
kavyansh18,5,6
keshu-g,1,1
kimphanh,22,1
kishor-rajbanshi,1,1
kmhalvin,6,1
kobihikri,1,1
kondv,1,1
koubaki,518,3
ktsoator,841,10
kunaaaalcodes,12,1
kunalpandey1,416,6
kycutler,1592,86
kzhgit,602,4
leep-frog,2,1
lfraleigh,474,18
liangmiQwQ,325,5
linghaoSu,2,1
logical-and,300,1
lorenpaulsen,2,1
lramos15,3974,389
lrtfm,9,3
lszomoru,1533,143
lucastaylr,3,4
lukasz-wronski,2,1
lulujs,659,93
luotianyiismywife,8,5
mark-wiemer,1,1
martincheck,518,9
marvinroger,1,1
matbmoser,325,9
mateusabelli,301,2
matthewcorven,1355,10
mcorbettbma,2,1
mcumming,1665,100
meganrogge,4584,1349
miachillgood,1,1
michiisai,107,14
midnights-ra1n,39,1
mikehaas763,4,2
miku1958,300,1
minuschuman,102,9
mirimadahmed,4,1
moheng233,35,8
mossgowild,6,1
mrleemurray,3245,467
mst-mkt,2,1
msulemans,4,3
myselfsiddharth,1455,20
n-gist,11,3
na2co3-ftw,2,3
natahanjr,1,1
natemiller23,1,1
nengelmann,318,4
nguyenvanduc208,342,6
nicezic,529,3
nsfxdyj,306,6
ntrogh,12,4
nugehs,31,10
openhands-agent,95,6
oscarvanderheide,15,2
osortega,1693,158
ousamabenyounes,311,9
pandupan,149,5
pawang-msft,3,1
peaceaddpaasion,4,3
philwo,3,2
piyushmadan,1,2
pony-maggie,2,2
puabiq,1,1
pucedoteth,2,2
puyogo-suzuki,4,1
pwang347,2248,202
pysio2007,3,1
rajpreetcodes,6,2
ralphfeltis,4,2
ramankrishna,3,1
rfeltis,821,25
rhoggs-bot-test-account,1,1
rhopman,2,1
rmyndharis,1,1
roblourens,5849,1093
rohit489,21,2
rohitbytecode,1,1
romalpani,52,15
root,12,2
rostidev,4,1
rowkav09,5,3
rrazvd,4,3
rwoll,381,25
rzhao271,2925,137
sambar21,2,2
samir-nimbly,12,4
samuel7james,21,4
samuelmbabhazi,3,2
samueltauil,64,2
sandersaares,328,36
sandersn,11,2
sandy081,5762,860
santhiprakash,1,2
saroasid-web,2,2
satarupaguha11,201,3
sbatten,208,37
sean-mcmanus,557,11
sgent-epic,7,7
shoemoney,1,2
silence48,112,3
simonl65,466,3
singhlovepreet9,2,2
sir-ad,2,1
smiling-x,2,1
smorimoto,2,2
soreavis,15,15
soroush5,6,4
spokodev,2,1
spurwaha,5,2
sricursion,31,8
srikanthananthula63053,30,16
stefankandic,2,2
stevenh,8,5
stevescot,6,4
sukumarp2022,1749,20
sukurcf,307,4
suliatmayowaogungbe-glitch,12,9
sundeep8967,2,3
swwind,34,1
tamuratak,4,6
taskinf198-afk,2,3
tggiles,3,3
theanarkh,2,2
thexin7,37,3
tieo,2,1
tombuildsstuff,4,2
tybruffy,2,1
u9g,2,1
ulugbekna,1810,383
unbadfish,323,9
unknown,16,1
unrevised6419,16,5
unsupportedpastels,8,2
uq3095-rgb,1,1
veerjain-1,7,1
videlalvaro,6,2
vijayupadya,2347,152
vikramnitin9,2,2
virzak,4,1
vishnukumar650,1,1
vivekjm,18,11
vritant24,3203,276
vs-code-engineering[bot],537,369
vscodebot-pr,6,3
vsimoesbh,309,7
waltoss,8,2
wilhem-meignan,16,1
wriglz,309,4
wycats,21,1
wynnsimon,13,4
xhugoliu,2,1
xia-chao,304,3
xiay-lcw,2,2
xuanmingShang,2,4
yiyabo,3,1
ymaldor1,302,2
yutotnh,2,7
yzxcj797,1,1
zainnadeem786,310,9
zelinms,11,2
zhichli,143,43
zhiquanchi,16,2
zmr-233,626,8
